-0.034906585040 0.034906585040
0.898847375266 0.187947613718 | 0.913377358491 0.429507650647
0.721247531573 -1.004278204711 | 0.738849056604 -0.681495130194
0.515867924528 0.829881772600 | 0.524113197210 0.914119525442
0.625987081729 0.026588097619 | 0.644509433962 0.384924915106
0.632179744968 -0.269799405377 | 0.639792452830 -0.204846753864
0.661834030742 -0.085262150344 | 0.672811320755 0.118780657054
0.529200099427 0.114071906932 | 0.536018867925 0.148398901143
0.515867924528 -0.128696565404 | 0.521891049182 -0.127970864601
0.643226415094 -0.122650868565 | 0.650444788950 -0.074435809462
0.893247914691 -0.163695796240 | 0.913377358491 0.240572923740
0.896907791306 -0.367150427457 | 0.922811320755 0.202312604831
0.501716981132 -0.788921513281 | 0.526785958101 -0.268299868686
0.317754716981 0.026785387650 | 0.331330230989 0.179172798799
0.525301886792 -0.634204485367 | 0.544397646811 -0.259605356658
0.690412326263 0.105807955913 | 0.715264194141 0.643991011047
0.620048525064 0.546811256923 | 0.639792452830 0.940034309234
0.242283018868 0.044752537927 | 0.260276136820 0.384548004739
0.242283018868 -0.782550583447 | 0.261541174669 -0.403222435704
0.662374407918 -0.446171378235 | 0.682245283019 -0.049298334031
0.732849056604 -0.309996344891 | 0.742963897430 -0.161690725665
0.647943396226 -0.707768138697 | 0.683111201060 0.126821139154
0.498638039661 0.305113943711 | 0.521867924528 0.798250315543
0.242283018868 -2.006104839252 | 0.278430351042 -1.143604612425
0.601889815176 -0.152934967677 | 0.649226415094 1.029893045700
0.497000000000 0.532117157763 | 0.506969009903 0.679501935367
0.390665185199 0.729781205247 | 0.399226415094 0.835277385511
0.152660377358 -0.073140539294 | 0.171407557871 0.289859432849
0.195113074832 -0.908253739124 | 0.214356094933 -0.531703004714
0.547484466431 -0.813315100205 | 0.554886792453 -0.768470898896
0.769988621899 -0.412453050603 | 0.786018867925 -0.176011861777
0.854547273779 0.732263167652 | 0.903943396226 1.973852395426
0.407377358491 0.542311450436 | 0.442929060054 1.388013487607
0.436495538306 -0.899853882948 | 0.507716999647 0.920981478807
0.441066046315 0.858580724437 | 0.451113207547 1.012124444347
0.388046567460 0.685111357522 | 0.399226415094 0.895830044884
0.228132075472 0.537269932551 | 0.237770083858 0.665251653678
0.086622641509 -0.070463745745 | 0.103245113886 0.233452705521
0.091339622642 -1.712798361343 | 0.127468069785 -0.850769474457
0.539940398986 -1.336907737381 | 0.573754716981 -0.540939082505
0.718146957447 -0.796282454555 | 0.734132075472 -0.510679119650
0.804811863491 -0.365114188173 | 0.842622641509 0.432001552132
0.606454120611 1.906151191920 | 0.658660377358 3.227842257768
0.288806473727 0.603654615392 | 0.347339622642 2.106540645625
0.190396226415 0.415304158415 | 0.215843516422 0.971806934602
0.239572860202 0.484896361727 | 0.257716981132 0.832442407672
0.199830188679 0.218310801031 | 0.206867651998 0.255823434231
0.209018438996 0.130722613115 | 0.224698113208 0.407695654040
0.147943396226 -0.206628066614 | 0.162490243035 0.005806073903
0.199830188679 -2.055598921944 | 0.232799580029 -1.284024409887
0.503113719031 -1.684648026590 | 0.545452830189 -0.644674751787
0.553733512965 -1.664386027743 | 0.573754716981 -1.405579819801
0.559089788039 -0.162397616196 | 0.677528301887 3.054823226725
SPEC_FINISHED
