-0.261799387799 0.261799387799
0.409763143656 0.185175136597 | 0.476722468259 0.259333063396
0.420839183980 -0.306931399923 | 0.521867924528 -0.103995889771
0.341339622642 -0.127847799143 | 0.444740646246 0.220255321011
0.190396226415 -0.582940610901 | 0.381101871402 0.121930307955
0.251713533977 -0.136356462746 | 0.311105923308 0.035613210684
0.199830188679 -0.292729016155 | 0.245745279984 -0.140375231876
0.218698113208 -0.132472858743 | 0.231610706667 -0.117930068046
0.147943396226 -0.007156041055 | 0.184964264989 0.107782844348
0.199830188679 -0.377271905882 | 0.323009742977 0.069846213989
0.532044210749 -0.297845845757 | 0.545452830189 -0.297406912622
0.532660992199 -0.951980439991 | 0.573754716981 -0.924548533279
0.614251609884 -0.255947314934 | 0.677528301887 -0.101377379294
0.374352866415 -0.361179611647 | 0.497524246688 0.056288465003
0.383791621903 -0.148785807950 | 0.487222789575 0.181532377627
0.378999955513 -0.932338263415 | 0.552155736474 -0.308616473103
0.439975102978 -1.476269613130 | 0.668714965913 -0.898458637749
0.159873327267 -0.469807080905 | 0.448074321006 -0.680980088553
0.310809301696 -0.027896980899 | 0.364408849037 0.015020823874
0.369640472132 0.416890213236 | 0.418624592144 0.411713044134
0.336622641509 0.058586775257 | 0.400409546978 0.274153138140
0.396444834248 0.376817382949 | 0.436988593146 0.266289492629
0.458317907580 0.002407468321 | 0.540735849057 0.293280657536
0.369641509434 -0.224632283519 | 0.403244782964 -0.122183222204
0.284685176400 -0.306096112810 | 0.361490566038 -0.036087578238
0.316773370365 -0.168287323733 | 0.326441582356 -0.183243324530
0.381342280515 -0.269945787286 | 0.394509433962 -0.241538041969
0.484685803495 -0.135924221270 | 0.507716981132 -0.082290218582
0.497830496137 0.125300588852 | 0.526584905660 0.196289164668
0.470790321603 0.323328821199 | 0.507716981132 0.441255311216
0.416808416928 -0.229857692284 | 0.525838047737 0.087923192221
0.256433962264 -1.102111657934 | 0.533237565897 -0.068960393562
0.560875549406 -0.405134167691 | 0.597127874323 -0.364148220534
0.421528301887 0.260161462492 | 0.518873638696 0.405279070986
0.438465816886 0.357209802371 | 0.512433962264 0.405449273580
0.369632801014 -0.028948564877 | 0.528553077856 -0.098739953142
0.265867924528 -1.939984151823 | 0.645653037102 -0.546342209183
0.110207547170 -0.470305997510 | 0.388800896855 0.256521697169
0.315033907079 -0.063068474320 | 0.366207547170 -0.168911090110
0.322471698113 0.303039877596 | 0.408165534045 0.222495127908
0.330671701934 0.068542177736 | 0.399040206827 0.156421430839
0.313037735849 -0.250738035144 | 0.420213839269 0.135811062303
0.467062044325 0.166026230406 | 0.500204980486 0.123035667975
0.435679245283 -0.240069760130 | 0.462886069595 -0.206623929416
