1.383514052367 -0.246469087526 | 1.282025938160 -0.204429267619
0.665976192540 -0.030460494064 | -0.076840716804 0.229612884389
-2.079446005177 0.826112649485 | -2.128210645406 0.870749410736
2.962153110713 -0.731648192929 | 2.877102767655 -0.680627295397
0.142666755471 0.226191701424 | -0.436933283584 0.429817250485
-0.040365761435 0.269207038682 | -0.069222830242 0.281337169098
0.629543334771 0.004355459740 | 0.585787196314 0.023363116297
0.708124578666 -0.022882975852 | 0.616091483934 0.012048637894
0.389295826462 0.053802305675 | 0.389045265759 0.057537080588
1.393675869032 -0.291426640724 | 0.718771143791 -0.054957443973
1.598855045448 -0.350731354108 | 0.693064491954 -0.034085492143
1.477737124387 -0.294160781712 | 0.807006761295 -0.058995979342
-0.542052926933 0.356005020225 | -2.932054472868 1.188003887113
2.784716740638 -0.664934193696 | 1.548272530691 -0.215606565547
1.921886444093 -0.357461891298 | 1.085208163452 -0.064834510100
1.523779869022 -0.251762549833 | 0.985801222943 -0.049145902066
2.151415543385 -0.481572971497 | 1.220892490834 -0.156322797543
0.770389649369 -0.026915217250 | 0.562230056156 0.050213727021
0.227438540390 0.126343544165 | 0.125879932276 0.163691563739
0.237053080581 0.106767061971 | -0.269905348793 0.284889541775
-0.537564464455 0.371353025294 | -0.828261612028 0.479379692625
0.476209189099 0.039648248442 | -0.513802252800 0.395265992497
-0.350256032231 0.316309847894 | -0.185476259450 0.277724552702
0.713819438104 -0.086416618924 | -3.693409821203 1.461886018293
-1.288904134744 0.623900040257 | -4.241432574880 1.651337195281
0.329765060448 0.140959318971 | -0.936891006307 0.582952865699
1.256155635981 -0.128195684718 | -0.315483107102 0.419686207757
0.736879498202 0.046161584817 | 0.642725518336 0.080650978176
0.553244747085 0.095460712861 | 0.653066430342 0.067822300874
0.109380357665 0.232036039891 | -0.428747065389 0.428712934337
-0.399456580559 0.373625752245 | -2.272269447054 1.026034565913
0.445350309761 0.068883571828 | -0.794270981949 0.501523096944
-0.891726597103 0.434061969553 | -3.609179538471 1.379516102040
1.968954197222 -0.514826471650 | 0.131688652950 0.133206689891
0.866061866503 -0.135493581449 | -1.898137704804 0.826455869344
1.540073167890 -0.357550482133 | -1.158586756915 0.581634964591
2.604899915702 -0.636431762526 | 1.299620456434 -0.180976499989
2.380178771623 -0.489488126878 | 1.673515272349 -0.241959412844
0.940588384352 -0.009479506130 | 0.154012176609 0.265740322029
0.748505355705 0.018157663902 | -0.268630106500 0.376244661650
2.182698277803 -0.493032036856 | 1.530150810784 -0.264323769864
1.785310913917 -0.377900490253 | 1.658020640369 -0.318992709448
-2.416498352274 0.899176808836 | -2.178607026994 0.846597936008
-0.003000000000 0.000000000000 | -5.966798511432 2.072995510597
-2.220700911773 0.811039778984 | -4.237807156007 1.513550171430
-1.135045087434 0.469125379790 | -2.816233216365 1.055043285591
-0.407675693455 0.253135435501 | -0.822988619195 0.400992610367
-0.409739027769 0.260271651998 | -0.482451604470 0.295661447331
1.175046988900 -0.262377917975 | 0.793966033093 -0.099965014125
3.096216702824 -0.878406071571 | 2.151863085495 -0.547510157139
3.219364905607 -0.902856354901 | 4.085699334028 -1.148549111279
2.373852762053 -0.667051980008 | -2.101714618007 0.889164882690
-0.003000000000 0.000000000000 | -5.292207967654 1.838666141686
SPEC_FINISHED
