3.106686068550 3.176499238630
1.479779574842 -0.269799405377 | 1.283337509881 -0.204846753864
0.542458109576 0.026588097619 | -0.564767851518 0.384924915106
-2.088026906710 0.828845467366 | -2.347677988420 0.914119525442
3.876280561654 -1.004278204711 | 2.878394509644 -0.681038469642
0.308392532750 0.187947613718 | -0.435960721442 0.429507650647
-0.053658794594 0.274376612234 | -0.072067456432 0.282221360032
0.628952822054 0.004543425776 | 0.517948259517 0.041624526776
0.735960841401 -0.027571414746 | 0.616509303831 0.011908903684
0.390503407336 0.054044033731 | 0.357906603887 0.064956304419
1.396348395932 -0.292277332458 | 0.663200616410 -0.055242461792
1.649507482727 -0.366854525653 | 0.594040837635 -0.025177991274
1.759637133525 -0.383892341536 | 0.954430306487 -0.122775828045
-0.721623200658 0.470234267395 | -4.138315627734 1.571968738026
3.741577662681 -0.925401443694 | 1.028756797386 -0.050239571608
2.027497895497 -0.391079060374 | 0.751202991161 0.021679349798
1.513735076262 -0.248563740040 | 0.710514026351 0.012118125131
2.613372414862 -0.628618410679 | 1.407949481172 -0.238672357568
0.856162490333 -0.045995938792 | 0.563406219864 0.049839342485
0.269727921683 0.112882416018 | 0.072791469636 0.177978721294
0.372936260810 0.063514102338 | -0.409031872809 0.317153751821
-0.539220350183 0.371880110092 | -1.027818969889 0.530571109861
0.463653565884 0.043646657648 | -0.480095602306 0.349600156942
-0.207878611051 0.280654755897 | -0.837145787911 0.485138660584
2.069818971273 -0.395542033872 | -3.671339675190 1.454856654520
-1.098931588743 0.635606611784 | -4.871660755278 1.851945055654
-0.074399312898 0.300219256862 | -1.823074455159 0.865033818441
0.954730165984 0.004575480262 | -1.518735103280 0.802693213711
0.699424767320 0.058686056991 | 0.519423614658 0.118398033872
0.887644940074 -0.010235055140 | 0.683109881996 0.057320170628
0.420195680345 0.153395411906 | -0.426399699817 0.427965744669
0.267702077462 0.204667144352 | -2.787073642218 1.189901830683
-0.126642544735 0.282281655540 | -1.465270662326 0.715106252413
-0.804131257182 0.468763566228 | -5.257302391247 1.904129899724
0.716599351046 -0.059448221703 | -0.550587605072 0.350381967928
0.947164372478 -0.161309310895 | -2.514540032065 0.954912716364
2.853691560724 -0.775683071828 | -0.359273634991 0.260474108893
2.978904571333 -0.755481141893 | 1.857436697311 -0.392558240133
2.600727722196 -0.544500305346 | 1.073412886977 -0.050940890858
1.292910373422 -0.103465831523 | -0.034857262875 0.325855842039
0.379636355307 0.159920731077 | -1.866321414091 0.884805599926
2.833461068456 -0.700176266682 | 1.078106908063 -0.133214002748
0.572524198855 0.014997905768 | 0.425480425368 0.064798520094
-1.235557469444 0.539478477087 | -1.452127240078 0.611128299602
0.248516700120 0.065439831053 | -7.332085447562 2.507498312599
